AreaCode,State ,Area
201,New Jersey ,"Jersey City, Bayonne, Bergenfield"
202,"Washington, DC ",Washington
203,Connecticut ,"Bridgeport, Danbury, East Haven"
204,Manitoba ,Winnipeg
205,Alabama ,"Birmingham, Alabaster, Bessemer"
206,Washington ,"Seattle, Bainbridge Island, Burien"
207,Maine ,"Portland, Auburn, Augusta"
208,Idaho ,"Boise City, Caldwell, Coeur D'alene"
209,California ,"Stockton, Atwater, Ceres"
210,Texas ,San Antonio
212,New York ,"New York, Manhattan, New York City"
213,California ,Los Angeles
214,Texas ,"Dallas, Allen, Arlington"
215,Pennsylvania ,"Philadelphia, Levittown"
216,Ohio ,"Cleveland, Brook Park, Cleveland Heights"
217,Illinois ,"Springfield, Champaign, Charleston"
218,Minnesota ,"Duluth, Andover, Moorhead"
219,Indiana ,"Hammond, East Chicago, Gary"
220,Ohio ,"Newark, Athens, Chillicothe"
223,Pennsylvania ,"Lancaster, Harrisburg, Lebanon"
224,Illinois ,"Elgin, Algonquin, Arlington Heights"
225,Louisiana ,Baton Rouge
226,Ontario ,London
228,Mississippi ,"Gulfport, Biloxi, Pascagoula"
229,Georgia ,"Albany, Valdosta"
231,Michigan ,"Muskegon, Norton Shores, Shelby"
234,Ohio ,"Akron, Alliance, Austintown"
236,British Columbia ,Vancouver
239,Florida ,"Cape Coral, Bonita Springs, Fort Myers"
240,Maryland ,"Germantown, Aspen Hill, Bethesda"
248,Michigan ,"Troy, Bloomfield, Farmington Hills"
249,Ontario ,Sudbury
250,British Columbia ,Kelowna
251,Alabama ,"Mobile, Prichard"
252,North Carolina ,"Greenville, Havelock, Kinston"
253,Washington ,"Tacoma, Auburn, East Hill-meridian"
254,Texas ,"Killeen, Copperas Cove, Fort Hood"
256,Alabama ,"Huntsville, Anniston, Decatur"
260,Indiana ,Fort Wayne
262,Wisconsin ,"Kenosha, Brookfield, Caledonia"
263,Quebec ,Montreal
267,Pennsylvania ,"Philadelphia, Levittown"
269,Michigan ,"Kalamazoo, Battle Creek, Portage"
270,Kentucky ,"Bowling Green, Elizabethtown, Henderson"
272,Pennsylvania ,"Scranton, Back Mountain, Hazleton"
276,Virginia ,"Bristol, Richmond"
279,California ,"Sacramento, Arden-arcade, Carmichael"
281,Texas ,"Houston, Alvin, Atascocita"
289,Ontario ,Hamilton
301,Maryland ,"Germantown, Aspen Hill, Bethesda"
302,Delaware ,"Wilmington, Dover, Newark"
303,Colorado ,"Denver, Arvada, Aurora"
304,West Virginia ,"Charleston, Huntington, Morgantown"
305,Florida ,"Miami, Aventura, Carol City"
306,Saskatchewan ,Saskatoon
307,Wyoming ,"Cheyenne, Casper, Gillette"
308,Nebraska ,"Grand Island, Kearney, North Platte"
309,Illinois ,"Peoria, Bloomington, East Moline"
310,California ,"Los Angeles, Beverly Hills, Carson"
312,Illinois ,Chicago
313,Michigan ,"Detroit, Allen Park, Dearborn"
314,Missouri ,"St. Louis, Affton, Ferguson"
315,New York ,"Syracuse, Auburn, Rome"
316,Kansas ,Wichita
317,Indiana ,"Indianapolis, Carmel, Fishers"
318,Louisiana ,"Shreveport, Alexandria, Bossier City"
319,Iowa ,"Cedar Rapids, Burlington, Cedar Falls"
320,Minnesota ,St. Cloud
321,Florida ,"Orlando, Altamonte Springs, Apopka"
323,California ,"Los Angeles, Bell, Bell Gardens"
325,Texas ,"Abilene, San Angelo"
326,Ohio ,Dayton
330,Ohio ,"Akron, Alliance, Austintown"
331,Illinois ,"Aurora, Addison, Bartlett"
332,New York ,"New York, Manhattan, New York City"
334,Alabama ,"Montgomery, Auburn, Dothan"
336,North Carolina ,"Greensboro, Asheboro, Burlington"
337,Louisiana ,"Lafayette, Lake Charles, New Iberia"
339,Massachusetts ,"Boston, Arlington, Braintree"
340,Virgin Islands ,"St. Croix, Charlotte Amalie"
341,California ,Oakland
343,Ontario ,Ottawa
346,Texas ,"Houston, Alvin, Atascocita"
347,New York ,"New York, Bronx, Brooklyn"
350,California ,Stockton
